	Temperature	SigmaT_A04	SigmaT_A08	SigmaT_A12	SigmaT_A16	SigmaT_A20
0	0.009000000000000001	10.751579916219704		2.737974365943933	2.195887680725588	1.9063184951532448
1	0.01	10.651687701822658		2.7453608098811837	2.2065426636818235	1.9164879743716803
2	0.011000000000000001	10.570676263286455		2.7520797064725593	2.2138625306444664	1.9275084673116933
3	0.012	10.500893373694183		2.7584428366868434	2.21972127207781	1.9344234272588077
4	0.012999999999999998	10.43808220586913		2.764613324223119	2.2249179508175514	1.9394668563250668
5	0.013999999999999999	10.379766246145572		2.770642674950522	2.2297929964226113	1.9436466979699096
6	0.015	10.324447449511752		2.776556498326982	2.2344930727663064	1.9473726050435678
7	0.016	10.271190092195361	4.096233654840206	2.782373890327192	2.239095501575317	1.9508598466156786
8	0.016999999999999998	10.219395340475653	4.093295853607364	2.788109838388712	2.243646602262447	1.9542341591799108
9	0.018000000000000002	10.16867401834803	4.093574023919705	2.793776721493031	2.2481751727582706	1.9575688124044925
10	0.019	10.118771970915713	4.094950961353278	2.7993852052991937	2.252699976903883	1.9609070792965608
11	0.02	10.06952466362143	4.096844438452651	2.804944636723846	2.2572339177300997	1.96427563262125
12	0.021	10.020828598631583	4.099011471465253	2.810463247928919	2.261786232512443	1.9676915226538774
13	0.022000000000000002	9.972622723766433	4.101331227161487	2.815948304927669	2.2663637250468467	1.9711658181353628
14	0.023000000000000003	9.924875966089768	4.103737755297859	2.821406228156519	2.2709715195173605	1.9747057191972914
15	0.024	9.877578617834237	4.106193136139698	2.8268426944827527	2.2756135417163708	1.9783158775155898
16	0.024999999999999998	9.83073622658077	4.10867501541944	2.8322627266075115	2.2802928354277947	1.9819992358909242
17	0.025999999999999995	9.784365150783174	4.111170207716568	2.8376707717326943	2.2850117770145126	1.985757566963269
18	0.027	9.73848925485288	4.1136711734316105	2.843070771100576	2.289772225718936	1.989591827175695
19	0.027999999999999997	9.693137406769898	4.116173967274148	2.848466221214408	2.2945756317705834	1.9935023949182815
20	0.029	9.64834155469592	4.118676996009703	2.8538602278209337	2.2994231162388084	1.9974892342775936
21	0.03	9.6041352337267	4.1211802370456985	2.859255553225858	2.304315531230724	2.00155200895948
22	0.031	9.560552400027545	4.123684732969803	2.864654657865088	2.309253506325814	2.005690163113604
23	0.032	9.517626520845347	4.126192256040444	2.870059736719705	2.314237484920108	2.009902979061319
24	0.032999999999999995	9.47538986747007	4.128705079592093	2.8754727512598115	2.319267753370538	2.0141896194159035
25	0.034	9.43387297415569	4.1312258194175735	2.8808954575248618	2.3243444645130023	2.018549157902489
26	0.035	9.393104232491883	4.133757321086523	2.8863294305448175	2.3294676570263144	2.0229806022906875
27	0.036000000000000004	9.353109599063412	4.136302578497822	2.8917760860672517	2.3346372715335106	2.0274829116372985
28	0.037000000000000005	9.313912397658669	4.138864673906943	2.8972366994451155	2.339853164164701	2.0320550093465655
29	0.038	9.275533200683325	4.1414467329847735	2.9027124223146594	2.3451151180181737	2.036695793181498
30	0.039	9.237989776552077	4.144051890732876	2.9082042972982265	2.3504228530954516	2.0414041430158614
31	0.04	9.201297092047861	4.146683265222191	2.913713270902286	2.355776034804779	2.0461789269090276
32	0.040999999999999995	9.169127297286511	4.1513590689006055	2.920268673308926	2.361485242882585	2.050635128798312
33	0.042	9.133782854723876	4.153865631494438	2.9257093347549388	2.366858353407925	2.0555103712763256
34	0.043	9.099364255742271	4.156427616358564	2.931179677326588	2.3722826556551375	2.0604507334182065
35	0.044000000000000004	9.065869741504565	4.1590452438922645	2.9366792199423597	2.377756948856041	2.0654550973496333
36	0.044999999999999984	9.033296249026096	4.161719074259558	2.9422075758848396	2.383280082840034	2.070522302017819
37	0.046000000000000006	9.001639409494409	4.164449923481416	2.9477644388562703	2.3888509542920158	2.0756511600952177
38	0.047	8.970893583631508	4.1672387973465845	2.953349571312031	2.394468503261538	2.08084047070631
39	0.048	8.941051924084556	4.170086839114523	2.9589627946959416	2.4001317099808483	2.0860890288826233
40	0.049	8.912106456943453	4.172995287938709	2.964603981239742	2.4058395919954134	2.0913956325163428
41	0.04999999999999999	8.884048176144137	4.175965445728922	2.970273047064323	2.411591201634191	2.096759087435242
42	0.051	8.856867145325468	4.178998650693235	2.9759699463670684	2.4173856237863034	2.1021782110936544
43	0.05199999999999999	8.830552603445708	4.182096256249984	2.9816946664993065	2.423221973963048	2.1076518352704925
44	0.052999999999999985	8.805093070806022	4.185259614219096	2.987447223797884	2.4290993966410848	2.1131788080547342
45	0.053999999999999986	8.780476453176483	4.188490061530126	2.9932276600398464	2.4350170638053354	2.118757995301611
46	0.055	8.756690142114211	4.191788909741228	2.9990360394156577	2.44097417372298	2.124388281715399
47	0.055999999999999994	8.733721110228206	4.195157436896799	3.004872445934101	2.446969949877153	2.1300685716385597
48	0.057	8.711556000442574	4.198596881251499	3.0107369811932894	2.4530036400591047	2.135797789632379
49	0.058	8.69018120868742	4.202108436601905	3.016629762453687	2.459074515586534	2.1415748808796766
50	0.059000000000000004	8.66958295970407	4.205693248848204	3.022550920960328	2.465181870633725	2.1473988114665548
51	0.06000000000000001	8.649747375826916	4.209352413621019	3.0285006004829635	2.4713250216536724	2.1532685685729698
52	0.061	8.630660538908213	4.213086974784442	3.0344789560071552	2.477503306879123	2.1591831605787304
53	0.062	8.612308545301921	4.216897923626193	3.040486152654851	2.4837160858803355	2.1651416170949824
54	0.063	8.594677554593757	4.220786198620103	3.0465223645719015	2.489962739180101	2.171142988986466
55	0.064	8.577753832037033	4.2247526856520565	3.0525877740958753	2.4962426679105163	2.177186348326258
56	0.06499999999999999	8.561523785282226	4.228798218621873	3.058682570888325	2.5025552934933106	2.18327078833625
57	0.06599999999999999	8.54597399575633	4.232923580327295	3.0648069511874496	2.508900057345987	2.189395423293173
58	0.067	8.531091245164506	4.237129503585287	3.0709611171096345	2.515276420608961	2.195559388427674
59	0.06799999999999999	8.516862537467171	4.241416672520648	3.0771452760043703	2.52168386387739	2.201761839801998
60	0.069	8.50327511680838	4.245785723986949	3.0833596398487293	2.5281218869377318	2.2080019541600526
61	0.07	8.49031648178319	4.250237249074326	3.089604424681295	2.534590008511385	2.214278928791103
62	0.071	8.47797439638935	4.254771794681415	3.0958798500601263	2.541087765985708	2.220591981347568
63	0.07200000000000001	8.466236898431077	4.2593898651133	3.102186138556305	2.547614715150331	2.22694034969649
64	0.073	8.4550923044172	4.264091923694758	3.1085235152575676	2.554170429917704	2.233323291708808
65	0.07400000000000001	8.444529213511686	4.268878394379033	3.114892207300748	2.5607545020419478	2.2397400850793563
66	0.075	8.434536508541212	4.273749663329205	3.121292443418148	2.5673665408121593	2.2461900271156408
67	0.076	8.425103355709993	4.278706080480384	3.1277244534966036	2.574006172754392	2.2526724345255773
68	0.077	8.416219202875746	4.283747961046416	3.1341884681542402	2.580673041310125	2.259186643193333
69	0.078	8.407873776495887	4.288875586989029	3.14068471832292	2.5873668064970405	2.2657320079454717
70	0.079	8.400057077625743	4.294089208440125	3.147213434856834	2.5940871445696385	2.272307902309391
71	0.08	8.392759377069492	4.2993890450446	3.15377484813308	2.60083374765973	2.2789137182602883
72	0.081	8.385971209791967	4.304775287309246	3.160369187685926	2.607606323407401	2.2855488659636856
73	0.08199999999999999	8.379683368834282	4.310248097771658	3.166996681803405	2.6144045945842866	2.2922127735049
74	0.083	8.37388689876466	4.315807612251649	3.1736575572359214	2.6212282986947595	2.2989048866136765
75	0.08399999999999999	8.36857308882504	4.321453940953415	3.1803520387935125	2.628077187586177	2.305624668380106
76	0.085	8.363733465810292	4.327187169559262	3.1870803490061537	2.6349510270312915	2.312371598960806
77	0.086	8.359359786893597	4.3330073601907895	3.1938427078588436	2.6418495963185067	2.3191451752835244
78	0.08700000000000001	8.355444032238914	4.338914552433511	3.200639332416399	2.6487726878244136	2.3259449107374954
79	0.08800000000000001	8.35197839769763	4.344908764212041	3.2074704365478937	2.6557201065877187	2.3327703348650233
80	0.08900000000000001	8.34895528748283	4.350989992661119	3.2143362306336685	2.6626916698715393	2.3396209930417196
81	0.08999999999999997	8.34636730697667	4.357158214939236	3.221236921282134	2.6696872067362736	2.3464964461555295
82	0.091	8.344207255500526	4.363413388996295	3.2281727110650915	2.676706557587652	2.353396270276946
83	0.092	8.342468119426142	4.369755454311055	3.235143798261547	2.6837495737485684	2.360320056330287
84	0.093	8.341143065267019	4.376184332563698	3.242150376613647	2.6908161170101996	2.3672674097536897
85	0.094	8.34022543308318	4.3826999283188774	3.2491926350965254	2.697906059195801	2.37423795016759
86	0.095	8.339708729952344	4.389302129605903	3.2562707576993764	2.7050192817209004	2.381231311026796
87	0.096	8.339586623746639	4.395990808540629	3.263384923219152	2.712155675159024	2.388247139281163
88	0.097	8.339852937061297	4.40276582186724	3.270535305067458	2.719315138807763	2.3952850950300504
89	0.098	8.34050164143614	4.409627011494911	3.2777220710879735	2.7264975802618294	2.4023448511771153
90	0.099	8.34152685164639	4.416574205003421	3.2849453833978215	2.733702914991204	2.409426093083568
91	0.09999999999999998	8.342922820350763	4.423607216128644	3.292205398210875	2.740931065920927	2.41652851822388
